gene	module	moduleset
ADAMDEC1	101	1
ASRGL1	101	1
C10orf116	101	1
CD55	101	1
COL1A2	101	1
COL3A1	101	1
CTHRC1	101	1
CXCL9	101	1
CXCL10	101	1
CXCL11	101	1
CXCL17	101	1
CYP4B1	101	1
DCN	101	1
EZR	101	1
FN1	101	1
FOLR1	101	1
HMGA2	101	1
IDO1	101	1
IGHM	101	1
IGJ	101	1
ISG15	101	1
KIF1A	101	1
MEST	101	1
MYCN	101	1
NRIP1	101	1
PDZK1IP1	101	1
PPL	101	1
PRTFDC1	101	1
S100A6	101	1
SALL2	101	1
SCGB1D2	101	1
SLAMF7	101	1
SLC40A1	101	1
SORL1	101	1
SPARC	101	1
TAGLN	101	1
TSPAN8	101	1
UCHL1	101	1
ZNF423	101	1
MEGF10	102	2
SOX11	102	2
LUM	102	2
EPYC	102	2
TRHDE	102	2
LIX1	102	2
POU3F3	102	2
GREM1	102	2
ADH1B	102	2
DPP10	102	2
FABP4	102	2
CRISP3	102	2
LOC283392	102	2
ADH1B	102	2
HNRNPA1	103	3
ATP5F1	103	3
ATP5L	103	3
SLC25A5	103	3
RBM39	103	3
NDUFAB1	103	3
C12orf35	103	3
CANX	103	3
TMEM14B	103	3
H3F3A	103	3
YWHAZ	103	3
PEBP1	103	3
SELT	103	3
SLC5A3	103	3
LTA4H	103	3
UQCRC2	103	3
ACP1	103	3
RPA3	103	3
NUDT21	103	3
G3BP1	103	3
C1orf77	103	3
SUB1	103	3
NDUFA9	103	3
RAB5B	103	3
MEA1	103	3
POMP	103	3
MRPL13	103	3
SNRPD3	103	3
PPP2R3C	103	3
MRPL49	103	3
TPD52	103	3
C6orf66	103	3
CEP55	103	3
LSM3	103	3
ZCCHC8	103	3
GOLPH3	103	3
SUV420H1	103	3
RPP30	103	3
XTP3TPA	103	3
LARP4	103	3
FLJ22222	103	3
RYBP	103	3
TXNDC14	103	3
RFC3	103	3
SPEN	103	3
ARMC1	103	3
EIF5	103	3
SMAD2	103	3
SRRM1	103	3
PGAM1	103	3
MLH1	103	3
TRAPPC4	103	3
DHX29	103	3
EDF1	103	3
MRS2	103	3
GMFB	103	3
RNF34	103	3
UBE2K	103	3
PCTK2	103	3
DLG1	103	3
MLF2	103	3
TMEM161A	103	3
VEZF1	103	3
LZTFL1	103	3
GNPDA1	103	3
ANXA3	103	3
UBE4B	103	3
DICER1	103	3
USP14	103	3
KIAA0368	103	3
TBCC	103	3
NFIB	103	3
